"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mouser URL","Mouser PN"
"C1,C9","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://www.we-online.com/components/products/datasheet/860020672010.pdf","https://www.mouser.com/ProductDetail/Wurth-Elektronik/860020672010?qs=sGAEpiMZZMsh%252B1woXyUXj4jKQI6sNRw6%252B%2FnWw7D23Ww%3D","710-860020672010 "
"C2,C4,C8,C11,C12,C14","6","100uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","https://www.mouser.com/ProductDetail/Wurth-Elektronik/860020672010?qs=sGAEpiMZZMsh%252B1woXyUXj4jKQI6sNRw6%252B%2FnWw7D23Ww%3D","https://www.mouser.com/ProductDetail/Nichicon/UVR1H101MPD1TD?qs=sGAEpiMZZMsh%252B1woXyUXj9Qfu%2FLgQWnHf9Zyy1TLY94%3D","647-UVR1H101MPD1TD "
"C3,C13","2","100pF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://www.mouser.com/datasheet/2/210/Class_I_Temperature_Compensation-2298228.pdf","https://www.mouser.com/ProductDetail/Walsin/YP501101K040BAND5P?qs=sGAEpiMZZMsh%252B1woXyUXj9Vc%2FsqQGnyVc97Ek7nEcX0%3D","791-YP501101K40AND5 "
"C5,C15","2","2200uF","","","","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","https://www.mouser.com/datasheet/2/977/e_YXJ-1601195.pdf","https://www.mouser.com/ProductDetail/Rubycon/35YXJ2200M16X25?qs=sGAEpiMZZMsh%252B1woXyUXj57M5zdvZVAFuY6LrCottNI%3D","232-35YXJ2200M16X25 "
"C6,C10","2","33uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://www.we-online.com/components/products/datasheet/860010672011.pdf]","https://www.mouser.com/ProductDetail/Wurth-Elektronik/860010672011?qs=sGAEpiMZZMsh%252B1woXyUXj4jKQI6sNRw6%2FzsPRxKesag%3D","710-860010672011 "
"C7,C16","2","100nF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://www.mouser.com/datasheet/2/210/Class_I_Temperature_Compensation-2298228.pdf","https://www.mouser.com/ProductDetail/Walsin/YV101103Z060HAND5P?qs=sGAEpiMZZMsh%252B1woXyUXj9Vc%2FsqQGnyVkbUw7FMjgKQ%3D","791-YV101103Z60HAND5 "
"D1,D2,D3,D4,D9,D10,D11,D12","8","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/308/1/1N914_D-3574539.pdf","https://www.mouser.com/ProductDetail/onsemi-Fairchild/1N4148-T50R?qs=sGAEpiMZZMtbRapU8LlZD%252B6h%2FWulpAkrNJDKqwRgmZcB5SlWjKcc2w%3D%3D","512-1N4148T50R "
"D5,D6,D7,D8,D13,D14,D15,D16","8","UF4004","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://diotec.com/request/datasheet/uf4001.pdf","https://www.mouser.com/ProductDetail/Diotec-Semiconductor/UF4004?qs=OlC7AqGiEDlRgKmeDlLF1Q%3D%3D","637-UF4004 "
"F1","1","Fuse Holder","","","","Fuse:Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal","https://www.mouser.com/datasheet/2/87/eaton_1axxxx_pcb_fuse_clips_atc_atm_blade_data_she-1608562.pdf","https://www.mouser.com/ProductDetail/Eaton-Electronics/BK-1A5601?qs=sfCJykTDjbAGESUvg%2FlMZw%3D%3D","504-1A5601 "
"J1","1","Screw_Terminal_01x03","","","","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","https://www.phoenixcontact.com/en-us/products/pcb-header-mstba-25-3-g-508-1757255?type=pdf","https://www.mouser.com/ProductDetail/Phoenix-Contact/1757255?qs=uD%2FdkN7XIa0ez8xszzicKg%3D%3D","651-1757255 "
